learning_rate,weight_decay,batch_size,max_epochs,conv_channels,dropout_rates,dense_size,rotation_degrees,translation_range,scale_range,loss_name,label_smoothing,val_accuracy,val_loss,best_epoch,training_time,model_size_mb
0.006814943881737474,9.09035526343333e-06,95,67,"[32, 64, 128]","[0.25, 0.5]",247,26,0.0826396665214184,"[0.8558686752430456, 1.1021107768852636]",cross_entropy_ls,0.1317393492640194,0.9992156862745099,0.6355380765363282,59,493.7864730358124,0.6637763977050781
0.005551755586685366,9.143303751705914e-06,90,67,"[32, 64, 128]","[0.25, 0.5]",247,26,0.08297610886863584,"[0.8577600014202063, 1.1129025557436971]",cross_entropy_ls,0.1303032208535728,0.9992156862745099,0.6308092446888194,66,493.19537687301636,0.6637763977050781
0.006425598820160511,1.4865104064296957e-05,95,66,"[32, 64, 128]","[0.25, 0.5]",216,28,0.08133833633987188,"[0.8553906964011997, 1.112581419437405]",cross_entropy_ls,0.14232819514753114,0.9988235294117647,0.6761864832803315,63,473.8271048069,0.6471023559570312
0.004817366591554792,2.6956530415062157e-05,98,64,"[32, 64, 128]","[0.25, 0.5]",231,27,0.07352151218908325,"[0.8267692047482833, 1.0973445554730814]",cross_entropy_ls,0.10025654663816735,0.9992156862745099,0.5142460096116159,63,478.57168793678284,0.6551704406738281
0.004882334953330175,2.6569649422494187e-05,98,64,"[32, 64, 128]","[0.25, 0.5]",234,26,0.07650335667022341,"[0.8729736605287362, 1.0981570321735532]",cross_entropy_ls,0.10607281510384003,0.9988235294117647,0.5371223091611675,55,497.8405065536499,0.6567840576171875
0.004325514952851812,9.976779766970732e-06,95,67,"[32, 64, 128]","[0.25, 0.5]",263,25,0.09160250799867997,"[0.8471221611559393, 1.1135896733975543]",cross_entropy_ls,0.1388934076885562,0.9988235294117647,0.664116082238216,64,530.5884494781494,0.6723823547363281
0.007145059828802115,1.2535761720583523e-05,98,60,"[64, 128, 256]","[0.25, 0.5]",472,29,0.08519461272628817,"[0.8649713656967893, 1.091263185775385]",cross_entropy_ls,0.14750181555016034,0.9988235294117647,0.6952935493693633,54,435.77723026275635,2.6008377075195312
0.004730841198180351,2.509662289750241e-05,100,63,"[32, 64, 128]","[0.3, 0.6]",341,28,0.07140566442563055,"[0.830072987558318, 1.0001835026072907]",cross_entropy_ls,0.09894053217123655,0.9988235294117647,0.5109404886470121,55,427.8779215812683,0.7143363952636719
0.006451593480649708,7.68455324545182e-06,75,48,"[32, 64, 128]","[0.25, 0.5]",258,24,0.06864278204645806,"[0.9827726041809376, 1.1103637126828374]",cross_entropy_ls,0.056781285060827864,0.9984313725490196,0.33141400796525616,43,327.3461492061615,0.6696929931640625
0.005020017130757022,3.562338520051032e-05,55,25,"[64, 128, 256]","[0.25, 0.5]",302,27,0.07920744680858133,"[0.9573125330741791, 1.0855250546226247]",cross_entropy_ls,0.1530718245836031,0.9980392156862745,0.7260011931260427,21,181.14181089401245,2.4263916015625
0.003921840903469204,1.6587882299402608e-05,77,49,"[64, 128, 256]","[0.2, 0.4]",116,25,0.06175305438625911,"[0.8929272503306713, 1.1268675219326552]",cross_entropy,0.0,0.9988235294117647,0.009518999070091655,27,253.44785404205322,2.2355270385742188
0.003360204319100392,3.985541952285351e-06,108,43,"[16, 32, 64]","[0.2, 0.4]",316,22,0.06706288904226765,"[0.9622228317689157, 1.1232073616963665]",cross_entropy,0.0,0.9984313725490196,0.00909252784015467,30,272.53871488571167,0.22646331787109375
